area,point,data_type,data_file_name
北海道(宗谷),宗谷岬,平均年,mea11001.txt
北海道(宗谷),宗谷岬,多照年,max11001.txt
北海道(宗谷),宗谷岬,寡照年,min11001.txt
北海道(宗谷),稚内,平均年,mea11016.txt
北海道(宗谷),稚内,多照年,max11016.txt
北海道(宗谷),稚内,寡照年,min11016.txt
北海道(宗谷),礼文,平均年,mea11046.txt
北海道(宗谷),礼文,多照年,max11046.txt
北海道(宗谷),礼文,寡照年,min11046.txt
北海道(宗谷),浜鬼志別,平均年,mea11076.txt
北海道(宗谷),浜鬼志別,多照年,max11076.txt
北海道(宗谷),浜鬼志別,寡照年,min11076.txt
北海道(宗谷),沼川,平均年,mea11121.txt
北海道(宗谷),沼川,多照年,max11121.txt
北海道(宗谷),沼川,寡照年,min11121.txt
北海道(宗谷),沓形,平均年,mea11151.txt
北海道(宗谷),沓形,多照年,max11151.txt
北海道(宗谷),沓形,寡照年,min11151.txt
北海道(宗谷),豊富,平均年,mea11176.txt
北海道(宗谷),豊富,多照年,max11176.txt
北海道(宗谷),豊富,寡照年,min11176.txt
北海道(宗谷),浜頓別,平均年,mea11206.txt
北海道(宗谷),浜頓別,多照年,max11206.txt
北海道(宗谷),浜頓別,寡照年,min11206.txt
北海道(宗谷),中頓別,平均年,mea11276.txt
北海道(宗谷),中頓別,多照年,max11276.txt
北海道(宗谷),中頓別,寡照年,min11276.txt
北海道(宗谷),北見枝幸,平均年,mea11291.txt
北海道(宗谷),北見枝幸,多照年,max11291.txt
北海道(宗谷),北見枝幸,寡照年,min11291.txt
北海道(宗谷),歌登,平均年,mea11316.txt
北海道(宗谷),歌登,多照年,max11316.txt
北海道(宗谷),歌登,寡照年,min11316.txt
北海道(上川),中川,平均年,mea12011.txt
北海道(上川),中川,多照年,max12011.txt
北海道(上川),中川,寡照年,min12011.txt
北海道(上川),音威子府,平均年,mea12041.txt
北海道(上川),音威子府,多照年,max12041.txt
北海道(上川),音威子府,寡照年,min12041.txt
北海道(上川),美深,平均年,mea12141.txt
北海道(上川),美深,多照年,max12141.txt
北海道(上川),美深,寡照年,min12141.txt
北海道(上川),名寄,平均年,mea12181.txt
北海道(上川),名寄,多照年,max12181.txt
北海道(上川),名寄,寡照年,min12181.txt
北海道(上川),下川,平均年,mea12231.txt
北海道(上川),下川,多照年,max12231.txt
北海道(上川),下川,寡照年,min12231.txt
北海道(上川),士別,平均年,mea12261.txt
北海道(上川),士別,多照年,max12261.txt
北海道(上川),士別,寡照年,min12261.txt
北海道(上川),朝日,平均年,mea12266.txt
北海道(上川),朝日,多照年,max12266.txt
北海道(上川),朝日,寡照年,min12266.txt
北海道(上川),和寒,平均年,mea12301.txt
北海道(上川),和寒,多照年,max12301.txt
北海道(上川),和寒,寡照年,min12301.txt
北海道(上川),江丹別,平均年,mea12386.txt
北海道(上川),江丹別,多照年,max12386.txt
北海道(上川),江丹別,寡照年,min12386.txt
北海道(上川),比布,平均年,mea12396.txt
北海道(上川),比布,多照年,max12396.txt
北海道(上川),比布,寡照年,min12396.txt
北海道(上川),上川,平均年,mea12411.txt
北海道(上川),上川,多照年,max12411.txt
北海道(上川),上川,寡照年,min12411.txt
北海道(上川),旭川,平均年,mea12442.txt
北海道(上川),旭川,多照年,max12442.txt
北海道(上川),旭川,寡照年,min12442.txt
北海道(上川),東川,平均年,mea12451.txt
北海道(上川),東川,多照年,max12451.txt
北海道(上川),東川,寡照年,min12451.txt
北海道(上川),志比内,平均年,mea12512.txt
北海道(上川),志比内,多照年,max12512.txt
北海道(上川),志比内,寡照年,min12512.txt
北海道(上川),美瑛,平均年,mea12551.txt
北海道(上川),美瑛,多照年,max12551.txt
北海道(上川),美瑛,寡照年,min12551.txt
北海道(上川),上富良野,平均年,mea12596.txt
北海道(上川),上富良野,多照年,max12596.txt
北海道(上川),上富良野,寡照年,min12596.txt
北海道(上川),富良野,平均年,mea12626.txt
北海道(上川),富良野,多照年,max12626.txt
北海道(上川),富良野,寡照年,min12626.txt
北海道(上川),麓郷,平均年,mea12632.txt
北海道(上川),麓郷,多照年,max12632.txt
北海道(上川),麓郷,寡照年,min12632.txt
北海道(上川),幾寅,平均年,mea12691.txt
北海道(上川),幾寅,多照年,max12691.txt
北海道(上川),幾寅,寡照年,min12691.txt
北海道(上川),占冠,平均年,mea12746.txt
北海道(上川),占冠,多照年,max12746.txt
北海道(上川),占冠,寡照年,min12746.txt
北海道(留萌),天塩,平均年,mea13061.txt
北海道(留萌),天塩,多照年,max13061.txt
北海道(留萌),天塩,寡照年,min13061.txt
北海道(留萌),遠別,平均年,mea13086.txt
北海道(留萌),遠別,多照年,max13086.txt
北海道(留萌),遠別,寡照年,min13086.txt
北海道(留萌),初山別,平均年,mea13121.txt
北海道(留萌),初山別,多照年,max13121.txt
北海道(留萌),初山別,寡照年,min13121.txt
北海道(留萌),焼尻,平均年,mea13146.txt
北海道(留萌),焼尻,多照年,max13146.txt
北海道(留萌),焼尻,寡照年,min13146.txt
北海道(留萌),羽幌,平均年,mea13181.txt
北海道(留萌),羽幌,多照年,max13181.txt
北海道(留萌),羽幌,寡照年,min13181.txt
北海道(留萌),達布,平均年,mea13261.txt
北海道(留萌),達布,多照年,max13261.txt
北海道(留萌),達布,寡照年,min13261.txt
北海道(留萌),留萌,平均年,mea13277.txt
北海道(留萌),留萌,多照年,max13277.txt
北海道(留萌),留萌,寡照年,min13277.txt
北海道(留萌),増毛,平均年,mea13311.txt
北海道(留萌),増毛,多照年,max13311.txt
北海道(留萌),増毛,寡照年,min13311.txt
北海道(留萌),幌糠,平均年,mea13321.txt
北海道(留萌),幌糠,多照年,max13321.txt
北海道(留萌),幌糠,寡照年,min13321.txt
北海道(石狩),浜益,平均年,mea14026.txt
北海道(石狩),浜益,多照年,max14026.txt
北海道(石狩),浜益,寡照年,min14026.txt
北海道(石狩),厚田,平均年,mea14071.txt
北海道(石狩),厚田,多照年,max14071.txt
北海道(石狩),厚田,寡照年,min14071.txt
北海道(石狩),新篠津,平均年,mea14101.txt
北海道(石狩),新篠津,多照年,max14101.txt
北海道(石狩),新篠津,寡照年,min14101.txt
北海道(石狩),山口,平均年,mea14116.txt
北海道(石狩),山口,多照年,max14116.txt
北海道(石狩),山口,寡照年,min14116.txt
北海道(石狩),石狩,平均年,mea14121.txt
北海道(石狩),石狩,多照年,max14121.txt
北海道(石狩),石狩,寡照年,min14121.txt
北海道(石狩),江別,平均年,mea14136.txt
北海道(石狩),江別,多照年,max14136.txt
北海道(石狩),江別,寡照年,min14136.txt
北海道(石狩),札幌,平均年,mea14163.txt
北海道(石狩),札幌,多照年,max14163.txt
北海道(石狩),札幌,寡照年,min14163.txt
北海道(石狩),恵庭島松,平均年,mea14206.txt
北海道(石狩),恵庭島松,多照年,max14206.txt
北海道(石狩),恵庭島松,寡照年,min14206.txt
北海道(石狩),支笏湖畔,平均年,mea14286.txt
北海道(石狩),支笏湖畔,多照年,max14286.txt
北海道(石狩),支笏湖畔,寡照年,min14286.txt
北海道(空知),朱鞠内,平均年,mea15041.txt
北海道(空知),朱鞠内,多照年,max15041.txt
北海道(空知),朱鞠内,寡照年,min15041.txt
北海道(空知),幌加内,平均年,mea15076.txt
北海道(空知),幌加内,多照年,max15076.txt
北海道(空知),幌加内,寡照年,min15076.txt
北海道(空知),石狩沼田,平均年,mea15116.txt
北海道(空知),石狩沼田,多照年,max15116.txt
北海道(空知),石狩沼田,寡照年,min15116.txt
北海道(空知),深川,平均年,mea15161.txt
北海道(空知),深川,多照年,max15161.txt
北海道(空知),深川,寡照年,min15161.txt
北海道(空知),空知吉野,平均年,mea15231.txt
北海道(空知),空知吉野,多照年,max15231.txt
北海道(空知),空知吉野,寡照年,min15231.txt
北海道(空知),滝川,平均年,mea15241.txt
北海道(空知),滝川,多照年,max15241.txt
北海道(空知),滝川,寡照年,min15241.txt
北海道(空知),芦別,平均年,mea15251.txt
北海道(空知),芦別,多照年,max15251.txt
北海道(空知),芦別,寡照年,min15251.txt
北海道(空知),月形,平均年,mea15311.txt
北海道(空知),月形,多照年,max15311.txt
北海道(空知),月形,寡照年,min15311.txt
北海道(空知),美唄,平均年,mea15321.txt
北海道(空知),美唄,多照年,max15321.txt
北海道(空知),美唄,寡照年,min15321.txt
北海道(空知),岩見沢,平均年,mea15356.txt
北海道(空知),岩見沢,多照年,max15356.txt
北海道(空知),岩見沢,寡照年,min15356.txt
北海道(空知),長沼,平均年,mea15431.txt
北海道(空知),長沼,多照年,max15431.txt
北海道(空知),長沼,寡照年,min15431.txt
北海道(空知),夕張,平均年,mea15442.txt
北海道(空知),夕張,多照年,max15442.txt
北海道(空知),夕張,寡照年,min15442.txt
北海道(後志),美国,平均年,mea16026.txt
北海道(後志),美国,多照年,max16026.txt
北海道(後志),美国,寡照年,min16026.txt
北海道(後志),神恵内,平均年,mea16061.txt
北海道(後志),神恵内,多照年,max16061.txt
北海道(後志),神恵内,寡照年,min16061.txt
北海道(後志),余市,平均年,mea16076.txt
北海道(後志),余市,多照年,max16076.txt
北海道(後志),余市,寡照年,min16076.txt
北海道(後志),小樽,平均年,mea16091.txt
北海道(後志),小樽,多照年,max16091.txt
北海道(後志),小樽,寡照年,min16091.txt
北海道(後志),共和,平均年,mea16156.txt
北海道(後志),共和,多照年,max16156.txt
北海道(後志),共和,寡照年,min16156.txt
北海道(後志),蘭越,平均年,mea16206.txt
北海道(後志),蘭越,多照年,max16206.txt
北海道(後志),蘭越,寡照年,min16206.txt
北海道(後志),倶知安,平均年,mea16217.txt
北海道(後志),倶知安,多照年,max16217.txt
北海道(後志),倶知安,寡照年,min16217.txt
北海道(後志),寿都,平均年,mea16252.txt
北海道(後志),寿都,多照年,max16252.txt
北海道(後志),寿都,寡照年,min16252.txt
北海道(後志),真狩,平均年,mea16281.txt
北海道(後志),真狩,多照年,max16281.txt
北海道(後志),真狩,寡照年,min16281.txt
北海道(後志),喜茂別,平均年,mea16286.txt
北海道(後志),喜茂別,多照年,max16286.txt
北海道(後志),喜茂別,寡照年,min16286.txt
北海道(後志),黒松内,平均年,mea16321.txt
北海道(後志),黒松内,多照年,max16321.txt
北海道(後志),黒松内,寡照年,min16321.txt
北海道(網走),雄武,平均年,mea17036.txt
北海道(網走),雄武,多照年,max17036.txt
北海道(網走),雄武,寡照年,min17036.txt
北海道(網走),興部,平均年,mea17076.txt
北海道(網走),興部,多照年,max17076.txt
北海道(網走),興部,寡照年,min17076.txt
北海道(網走),西興部,平均年,mea17091.txt
北海道(網走),西興部,多照年,max17091.txt
北海道(網走),西興部,寡照年,min17091.txt
北海道(網走),紋別,平均年,mea17112.txt
北海道(網走),紋別,多照年,max17112.txt
北海道(網走),紋別,寡照年,min17112.txt
北海道(網走),湧別,平均年,mea17166.txt
北海道(網走),湧別,多照年,max17166.txt
北海道(網走),湧別,寡照年,min17166.txt
北海道(網走),滝上,平均年,mea17196.txt
北海道(網走),滝上,多照年,max17196.txt
北海道(網走),滝上,寡照年,min17196.txt
北海道(網走),常呂,平均年,mea17246.txt
北海道(網走),常呂,多照年,max17246.txt
北海道(網走),常呂,寡照年,min17246.txt
北海道(網走),遠軽,平均年,mea17306.txt
北海道(網走),遠軽,多照年,max17306.txt
北海道(網走),遠軽,寡照年,min17306.txt
北海道(網走),佐呂間,平均年,mea17316.txt
北海道(網走),佐呂間,多照年,max17316.txt
北海道(網走),佐呂間,寡照年,min17316.txt
北海道(網走),網走,平均年,mea17341.txt
北海道(網走),網走,多照年,max17341.txt
北海道(網走),網走,寡照年,min17341.txt
北海道(網走),宇登呂,平均年,mea17351.txt
北海道(網走),宇登呂,多照年,max17351.txt
北海道(網走),宇登呂,寡照年,min17351.txt
北海道(網走),白滝,平均年,mea17482.txt
北海道(網走),白滝,多照年,max17482.txt
北海道(網走),白滝,寡照年,min17482.txt
北海道(網走),生田原,平均年,mea17501.txt
北海道(網走),生田原,多照年,max17501.txt
北海道(網走),生田原,寡照年,min17501.txt
北海道(網走),北見,平均年,mea17521.txt
北海道(網走),北見,多照年,max17521.txt
北海道(網走),北見,寡照年,min17521.txt
北海道(網走),小清水,平均年,mea17546.txt
北海道(網走),小清水,多照年,max17546.txt
北海道(網走),小清水,寡照年,min17546.txt
北海道(網走),斜里,平均年,mea17561.txt
北海道(網走),斜里,多照年,max17561.txt
北海道(網走),斜里,寡照年,min17561.txt
北海道(網走),留辺蘂,平均年,mea17596.txt
北海道(網走),留辺蘂,多照年,max17596.txt
北海道(網走),留辺蘂,寡照年,min17596.txt
北海道(網走),境野,平均年,mea17607.txt
北海道(網走),境野,多照年,max17607.txt
北海道(網走),境野,寡照年,min17607.txt
北海道(網走),美幌,平均年,mea17631.txt
北海道(網走),美幌,多照年,max17631.txt
北海道(網走),美幌,寡照年,min17631.txt
北海道(網走),津別,平均年,mea17717.txt
北海道(網走),津別,多照年,max17717.txt
北海道(網走),津別,寡照年,min17717.txt
北海道(根室),羅臼,平均年,mea18038.txt
北海道(根室),羅臼,多照年,max18038.txt
北海道(根室),羅臼,寡照年,min18038.txt
北海道(根室),標津,平均年,mea18136.txt
北海道(根室),標津,多照年,max18136.txt
北海道(根室),標津,寡照年,min18136.txt
北海道(根室),上標津,平均年,mea18161.txt
北海道(根室),上標津,多照年,max18161.txt
北海道(根室),上標津,寡照年,min18161.txt
北海道(根室),中標津,平均年,mea18171.txt
北海道(根室),中標津,多照年,max18171.txt
北海道(根室),中標津,寡照年,min18171.txt
北海道(根室),別海,平均年,mea18256.txt
北海道(根室),別海,多照年,max18256.txt
北海道(根室),別海,寡照年,min18256.txt
北海道(根室),根室,平均年,mea18273.txt
北海道(根室),根室,多照年,max18273.txt
北海道(根室),根室,寡照年,min18273.txt
北海道(根室),納沙布,平均年,mea18281.txt
北海道(根室),納沙布,多照年,max18281.txt
北海道(根室),納沙布,寡照年,min18281.txt
北海道(根室),厚床,平均年,mea18311.txt
北海道(根室),厚床,多照年,max18311.txt
北海道(根室),厚床,寡照年,min18311.txt
北海道(釧路),川湯,平均年,mea19021.txt
北海道(釧路),川湯,多照年,max19021.txt
北海道(釧路),川湯,寡照年,min19021.txt
北海道(釧路),弟子屈,平均年,mea19051.txt
北海道(釧路),弟子屈,多照年,max19051.txt
北海道(釧路),弟子屈,寡照年,min19051.txt
北海道(釧路),阿寒湖畔,平均年,mea19076.txt
北海道(釧路),阿寒湖畔,多照年,max19076.txt
北海道(釧路),阿寒湖畔,寡照年,min19076.txt
北海道(釧路),標茶,平均年,mea19151.txt
北海道(釧路),標茶,多照年,max19151.txt
北海道(釧路),標茶,寡照年,min19151.txt
北海道(釧路),鶴居,平均年,mea19191.txt
北海道(釧路),鶴居,多照年,max19191.txt
北海道(釧路),鶴居,寡照年,min19191.txt
北海道(釧路),中徹別,平均年,mea19261.txt
北海道(釧路),中徹別,多照年,max19261.txt
北海道(釧路),中徹別,寡照年,min19261.txt
北海道(釧路),榊町,平均年,mea19311.txt
北海道(釧路),榊町,多照年,max19311.txt
北海道(釧路),榊町,寡照年,min19311.txt
北海道(釧路),太田,平均年,mea19376.txt
北海道(釧路),太田,多照年,max19376.txt
北海道(釧路),太田,寡照年,min19376.txt
北海道(釧路),白糠,平均年,mea19416.txt
北海道(釧路),白糠,多照年,max19416.txt
北海道(釧路),白糠,寡照年,min19416.txt
北海道(釧路),釧路,平均年,mea19432.txt
北海道(釧路),釧路,多照年,max19432.txt
北海道(釧路),釧路,寡照年,min19432.txt
北海道(釧路),知方学,平均年,mea19451.txt
北海道(釧路),知方学,多照年,max19451.txt
北海道(釧路),知方学,寡照年,min19451.txt
北海道(十勝),陸別,平均年,mea20146.txt
北海道(十勝),陸別,多照年,max20146.txt
北海道(十勝),陸別,寡照年,min20146.txt
北海道(十勝),糠平,平均年,mea20186.txt
北海道(十勝),糠平,多照年,max20186.txt
北海道(十勝),糠平,寡照年,min20186.txt
北海道(十勝),上士幌,平均年,mea20266.txt
北海道(十勝),上士幌,多照年,max20266.txt
北海道(十勝),上士幌,寡照年,min20266.txt
北海道(十勝),足寄,平均年,mea20276.txt
北海道(十勝),足寄,多照年,max20276.txt
北海道(十勝),足寄,寡照年,min20276.txt
北海道(十勝),本別,平均年,mea20341.txt
北海道(十勝),本別,多照年,max20341.txt
北海道(十勝),本別,寡照年,min20341.txt
北海道(十勝),新得,平均年,mea20356.txt
北海道(十勝),新得,多照年,max20356.txt
北海道(十勝),新得,寡照年,min20356.txt
北海道(十勝),鹿追,平均年,mea20361.txt
北海道(十勝),鹿追,多照年,max20361.txt
北海道(十勝),鹿追,寡照年,min20361.txt
北海道(十勝),駒場,平均年,mea20371.txt
北海道(十勝),駒場,多照年,max20371.txt
北海道(十勝),駒場,寡照年,min20371.txt
北海道(十勝),芽室,平均年,mea20421.txt
北海道(十勝),芽室,多照年,max20421.txt
北海道(十勝),芽室,寡照年,min20421.txt
北海道(十勝),帯広,平均年,mea20432.txt
北海道(十勝),帯広,多照年,max20432.txt
北海道(十勝),帯広,寡照年,min20432.txt
北海道(十勝),池田,平均年,mea20441.txt
北海道(十勝),池田,多照年,max20441.txt
北海道(十勝),池田,寡照年,min20441.txt
北海道(十勝),浦幌,平均年,mea20506.txt
北海道(十勝),浦幌,多照年,max20506.txt
北海道(十勝),浦幌,寡照年,min20506.txt
北海道(十勝),糠内,平均年,mea20556.txt
北海道(十勝),糠内,多照年,max20556.txt
北海道(十勝),糠内,寡照年,min20556.txt
北海道(十勝),上札内,平均年,mea20601.txt
北海道(十勝),上札内,多照年,max20601.txt
北海道(十勝),上札内,寡照年,min20601.txt
北海道(十勝),更別,平均年,mea20606.txt
北海道(十勝),更別,多照年,max20606.txt
北海道(十勝),更別,寡照年,min20606.txt
北海道(十勝),大津,平均年,mea20631.txt
北海道(十勝),大津,多照年,max20631.txt
北海道(十勝),大津,寡照年,min20631.txt
北海道(十勝),大樹,平均年,mea20696.txt
北海道(十勝),大樹,多照年,max20696.txt
北海道(十勝),大樹,寡照年,min20696.txt
北海道(十勝),広尾,平均年,mea20751.txt
北海道(十勝),広尾,多照年,max20751.txt
北海道(十勝),広尾,寡照年,min20751.txt
北海道(胆振),厚真,平均年,mea21111.txt
北海道(胆振),厚真,多照年,max21111.txt
北海道(胆振),厚真,寡照年,min21111.txt
北海道(胆振),穂別,平均年,mea21126.txt
北海道(胆振),穂別,多照年,max21126.txt
北海道(胆振),穂別,寡照年,min21126.txt
北海道(胆振),大滝,平均年,mea21161.txt
北海道(胆振),大滝,多照年,max21161.txt
北海道(胆振),大滝,寡照年,min21161.txt
北海道(胆振),森野,平均年,mea21171.txt
北海道(胆振),森野,多照年,max21171.txt
北海道(胆振),森野,寡照年,min21171.txt
北海道(胆振),苫小牧,平均年,mea21187.txt
北海道(胆振),苫小牧,多照年,max21187.txt
北海道(胆振),苫小牧,寡照年,min21187.txt
北海道(胆振),大岸,平均年,mea21226.txt
北海道(胆振),大岸,多照年,max21226.txt
北海道(胆振),大岸,寡照年,min21226.txt
北海道(胆振),白老,平均年,mea21261.txt
北海道(胆振),白老,多照年,max21261.txt
北海道(胆振),白老,寡照年,min21261.txt
北海道(胆振),鵡川,平均年,mea21276.txt
北海道(胆振),鵡川,多照年,max21276.txt
北海道(胆振),鵡川,寡照年,min21276.txt
北海道(胆振),伊達,平均年,mea21297.txt
北海道(胆振),伊達,多照年,max21297.txt
北海道(胆振),伊達,寡照年,min21297.txt
北海道(胆振),登別,平均年,mea21312.txt
北海道(胆振),登別,多照年,max21312.txt
北海道(胆振),登別,寡照年,min21312.txt
北海道(胆振),室蘭,平均年,mea21323.txt
北海道(胆振),室蘭,多照年,max21323.txt
北海道(胆振),室蘭,寡照年,min21323.txt
北海道(日高),日高,平均年,mea22036.txt
北海道(日高),日高,多照年,max22036.txt
北海道(日高),日高,寡照年,min22036.txt
北海道(日高),日高門別,平均年,mea22141.txt
北海道(日高),日高門別,多照年,max22141.txt
北海道(日高),日高門別,寡照年,min22141.txt
北海道(日高),新和,平均年,mea22156.txt
北海道(日高),新和,多照年,max22156.txt
北海道(日高),新和,寡照年,min22156.txt
北海道(日高),静内,平均年,mea22241.txt
北海道(日高),静内,多照年,max22241.txt
北海道(日高),静内,寡照年,min22241.txt
北海道(日高),三石,平均年,mea22291.txt
北海道(日高),三石,多照年,max22291.txt
北海道(日高),三石,寡照年,min22291.txt
北海道(日高),中杵臼,平均年,mea22306.txt
北海道(日高),中杵臼,多照年,max22306.txt
北海道(日高),中杵臼,寡照年,min22306.txt
北海道(日高),浦河,平均年,mea22327.txt
北海道(日高),浦河,多照年,max22327.txt
北海道(日高),浦河,寡照年,min22327.txt
北海道(日高),えりも岬,平均年,mea22391.txt
北海道(日高),えりも岬,多照年,max22391.txt
北海道(日高),えりも岬,寡照年,min22391.txt
北海道(渡島),長万部,平均年,mea23031.txt
北海道(渡島),長万部,多照年,max23031.txt
